store_location,product_category,stores,units_sold,revenue,gross_profit,profit_per_store,gross_margin
Airport,Electronics,3,14347,236496.53,108197.0,36065.67,0.4575
Airport,Toys,3,21504,415754.96,88250.0,29416.67,0.2123
Airport,Games,3,21390,240004.1,80768.0,26922.67,0.3365
Airport,Art & Crafts,3,24833,209363.67,61441.0,20480.33,0.2935
Airport,Sports & Outdoors,3,14368,188103.32,39393.0,13131.0,0.2094
Commercial,Electronics,12,38258,634885.42,287574.0,23964.5,0.453
Commercial,Toys,12,56018,1081318.82,225034.0,18752.83,0.2081
Commercial,Art & Crafts,12,65147,591698.53,155461.0,12955.08,0.2627
Commercial,Games,12,42693,478165.07,146296.0,12191.33,0.306
Commercial,Sports & Outdoors,12,38532,493071.68,112499.0,9374.92,0.2282
Downtown,Toys,29,156181,2946755.19,630029.0,21725.14,0.2138
Downtown,Electronics,29,67799,1149769.01,502490.0,17327.24,0.437
Downtown,Art & Crafts,29,196933,1604073.67,444320.0,15321.38,0.277
Downtown,Games,29,109875,1275828.25,378421.0,13049.0,0.2966
Downtown,Sports & Outdoors,29,97285,1243170.15,293468.0,10119.59,0.2361
Residential,Toys,6,33497,649412.03,136214.0,22702.33,0.2097
Residential,Electronics,6,13671,225620.29,103176.0,17196.0,0.4573
Residential,Art & Crafts,6,38661,300228.39,92132.0,15355.33,0.3069
Residential,Games,6,20715,232838.85,68508.0,11418.0,0.2942
Residential,Sports & Outdoors,6,18858,248014.42,60358.0,10059.67,0.2434
