year_month,month_start,year,quarter,month_number,month_name,store_id,store_name,store_city,store_location,product_id,product_name,product_category,transactions,units_sold,revenue,cogs,gross_profit
2022-01,2022-01-02,2022,1,1,January,1,Maven Toys Guadalajara 1,Guadalajara,Residential,1,Action Figure,Toys,53,63,1007.37,629.37,378.0
2022-01,2022-01-27,2022,1,1,January,1,Maven Toys Guadalajara 1,Guadalajara,Residential,2,Animal Figures,Toys,7,7,90.93,69.93,21.0
2022-01,2022-01-14,2022,1,1,January,1,Maven Toys Guadalajara 1,Guadalajara,Residential,4,Chutes & Ladders,Games,5,5,64.95,49.95,15.0
2022-01,2022-01-05,2022,1,1,January,1,Maven Toys Guadalajara 1,Guadalajara,Residential,5,Classic Dominoes,Games,11,11,109.89,87.89,22.0
2022-01,2022-01-11,2022,1,1,January,1,Maven Toys Guadalajara 1,Guadalajara,Residential,6,Colorbuds,Electronics,5,5,74.95,34.95,40.0
2022-01,2022-01-12,2022,1,1,January,1,Maven Toys Guadalajara 1,Guadalajara,Residential,7,Dart Gun,Sports & Outdoors,24,24,383.76,287.76,96.0
2022-01,2022-01-03,2022,1,1,January,1,Maven Toys Guadalajara 1,Guadalajara,Residential,8,Deck Of Cards,Games,56,81,566.19,323.19,243.0
2022-01,2022-01-08,2022,1,1,January,1,Maven Toys Guadalajara 1,Guadalajara,Residential,9,Dino Egg,Toys,12,18,197.82,179.82,18.0
2022-01,2022-01-02,2022,1,1,January,1,Maven Toys Guadalajara 1,Guadalajara,Residential,10,Dinosaur Figures,Toys,52,52,779.48,571.48,208.0
2022-01,2022-01-08,2022,1,1,January,1,Maven Toys Guadalajara 1,Guadalajara,Residential,14,Glass Marbles,Games,10,10,109.9,59.9,50.0
2022-01,2022-01-06,2022,1,1,January,1,Maven Toys Guadalajara 1,Guadalajara,Residential,17,Kids Makeup Kit,Art & Crafts,2,2,39.98,27.98,12.0
2022-01,2022-01-05,2022,1,1,January,1,Maven Toys Guadalajara 1,Guadalajara,Residential,18,Lego Bricks,Toys,49,71,2839.29,2484.29,355.0
2022-01,2022-01-01,2022,1,1,January,1,Maven Toys Guadalajara 1,Guadalajara,Residential,21,Mini Ping Pong Set,Sports & Outdoors,58,96,959.04,671.04,288.0
2022-01,2022-01-08,2022,1,1,January,1,Maven Toys Guadalajara 1,Guadalajara,Residential,22,Monopoly,Games,6,6,119.94,83.94,36.0
2022-01,2022-01-30,2022,1,1,January,1,Maven Toys Guadalajara 1,Guadalajara,Residential,25,PlayDoh Can,Art & Crafts,8,8,23.92,15.92,8.0
2022-01,2022-01-05,2022,1,1,January,1,Maven Toys Guadalajara 1,Guadalajara,Residential,27,PlayDoh Toolkit,Art & Crafts,31,31,154.69,123.69,31.0
2022-01,2022-01-12,2022,1,1,January,1,Maven Toys Guadalajara 1,Guadalajara,Residential,30,Rubik's Cube,Games,26,26,519.74,467.74,52.0
2022-01,2022-01-01,2022,1,1,January,1,Maven Toys Guadalajara 1,Guadalajara,Residential,31,Splash Balls,Sports & Outdoors,32,32,287.68,255.68,32.0
2022-01,2022-01-21,2022,1,1,January,1,Maven Toys Guadalajara 1,Guadalajara,Residential,33,Teddy Bear,Toys,4,4,51.96,43.96,8.0
2022-01,2022-01-01,2022,1,1,January,1,Maven Toys Guadalajara 1,Guadalajara,Residential,34,Toy Robot,Electronics,11,11,285.89,230.89,55.0
2022-01,2022-01-04,2022,1,1,January,2,Maven Toys Monterrey 1,Monterrey,Residential,1,Action Figure,Toys,113,120,1918.8,1198.8,720.0
2022-01,2022-01-05,2022,1,1,January,2,Maven Toys Monterrey 1,Monterrey,Residential,2,Animal Figures,Toys,21,21,272.79,209.79,63.0
2022-01,2022-01-05,2022,1,1,January,2,Maven Toys Monterrey 1,Monterrey,Residential,6,Colorbuds,Electronics,110,209,3132.91,1460.91,1672.0
2022-01,2022-01-05,2022,1,1,January,2,Maven Toys Monterrey 1,Monterrey,Residential,7,Dart Gun,Sports & Outdoors,35,54,863.46,647.46,216.0
2022-01,2022-01-08,2022,1,1,January,2,Maven Toys Monterrey 1,Monterrey,Residential,8,Deck Of Cards,Games,104,104,726.96,414.96,312.0
2022-01,2022-01-05,2022,1,1,January,2,Maven Toys Monterrey 1,Monterrey,Residential,9,Dino Egg,Toys,43,43,472.57,429.57,43.0
2022-01,2022-01-22,2022,1,1,January,2,Maven Toys Monterrey 1,Monterrey,Residential,10,Dinosaur Figures,Toys,10,10,149.9,109.9,40.0
2022-01,2022-01-08,2022,1,1,January,2,Maven Toys Monterrey 1,Monterrey,Residential,14,Glass Marbles,Games,19,32,351.68,191.68,160.0
2022-01,2022-01-06,2022,1,1,January,2,Maven Toys Monterrey 1,Monterrey,Residential,17,Kids Makeup Kit,Art & Crafts,12,12,239.88,167.88,72.0
2022-01,2022-01-01,2022,1,1,January,2,Maven Toys Monterrey 1,Monterrey,Residential,18,Lego Bricks,Toys,51,51,2039.49,1784.49,255.0
2022-01,2022-01-11,2022,1,1,January,2,Maven Toys Monterrey 1,Monterrey,Residential,24,Nerf Gun,Sports & Outdoors,13,13,259.87,194.87,65.0
2022-01,2022-01-06,2022,1,1,January,2,Maven Toys Monterrey 1,Monterrey,Residential,25,PlayDoh Can,Art & Crafts,19,32,95.68,63.68,32.0
2022-01,2022-01-07,2022,1,1,January,2,Maven Toys Monterrey 1,Monterrey,Residential,27,PlayDoh Toolkit,Art & Crafts,55,55,274.45,219.45,55.0
2022-01,2022-01-07,2022,1,1,January,2,Maven Toys Monterrey 1,Monterrey,Residential,30,Rubik's Cube,Games,24,45,899.55,809.55,90.0
2022-01,2022-01-06,2022,1,1,January,2,Maven Toys Monterrey 1,Monterrey,Residential,31,Splash Balls,Sports & Outdoors,40,40,359.6,319.6,40.0
2022-01,2022-01-10,2022,1,1,January,2,Maven Toys Monterrey 1,Monterrey,Residential,33,Teddy Bear,Toys,13,13,168.87,142.87,26.0
2022-01,2022-01-02,2022,1,1,January,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,1,Action Figure,Toys,41,85,1359.15,849.15,510.0
2022-01,2022-01-07,2022,1,1,January,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,2,Animal Figures,Toys,47,47,610.53,469.53,141.0
2022-01,2022-01-02,2022,1,1,January,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,6,Colorbuds,Electronics,124,278,4167.22,1943.22,2224.0
2022-01,2022-01-05,2022,1,1,January,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,7,Dart Gun,Sports & Outdoors,38,41,655.59,491.59,164.0
2022-01,2022-01-01,2022,1,1,January,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,8,Deck Of Cards,Games,45,45,314.55,179.55,135.0
2022-01,2022-01-05,2022,1,1,January,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,9,Dino Egg,Toys,60,142,1560.58,1418.58,142.0
2022-01,2022-01-03,2022,1,1,January,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,10,Dinosaur Figures,Toys,30,30,449.7,329.7,120.0
2022-01,2022-01-29,2022,1,1,January,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,14,Glass Marbles,Games,22,22,241.78,131.78,110.0
2022-01,2022-01-11,2022,1,1,January,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,17,Kids Makeup Kit,Art & Crafts,19,19,379.81,265.81,114.0
2022-01,2022-01-09,2022,1,1,January,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,18,Lego Bricks,Toys,17,17,679.83,594.83,85.0
2022-01,2022-01-01,2022,1,1,January,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,24,Nerf Gun,Sports & Outdoors,54,66,1319.34,989.34,330.0
2022-01,2022-01-21,2022,1,1,January,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,25,PlayDoh Can,Art & Crafts,17,27,80.73,53.73,27.0
2022-01,2022-01-06,2022,1,1,January,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,27,PlayDoh Toolkit,Art & Crafts,35,35,174.65,139.65,35.0
2022-01,2022-01-04,2022,1,1,January,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,30,Rubik's Cube,Games,41,44,879.56,791.56,88.0
2022-01,2022-01-02,2022,1,1,January,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,31,Splash Balls,Sports & Outdoors,52,78,701.22,623.22,78.0
2022-01,2022-01-02,2022,1,1,January,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,34,Toy Robot,Electronics,17,17,441.83,356.83,85.0
2022-01,2022-01-01,2022,1,1,January,4,Maven Toys Saltillo 1,Saltillo,Downtown,1,Action Figure,Toys,50,84,1343.16,839.16,504.0
2022-01,2022-01-04,2022,1,1,January,4,Maven Toys Saltillo 1,Saltillo,Downtown,2,Animal Figures,Toys,40,40,519.6,399.6,120.0
2022-01,2022-01-08,2022,1,1,January,4,Maven Toys Saltillo 1,Saltillo,Downtown,4,Chutes & Ladders,Games,3,8,103.92,79.92,24.0
2022-01,2022-01-11,2022,1,1,January,4,Maven Toys Saltillo 1,Saltillo,Downtown,6,Colorbuds,Electronics,118,176,2638.24,1230.24,1408.0
2022-01,2022-01-06,2022,1,1,January,4,Maven Toys Saltillo 1,Saltillo,Downtown,7,Dart Gun,Sports & Outdoors,58,58,927.42,695.42,232.0
2022-01,2022-01-01,2022,1,1,January,4,Maven Toys Saltillo 1,Saltillo,Downtown,8,Deck Of Cards,Games,85,95,664.05,379.05,285.0
2022-01,2022-01-01,2022,1,1,January,4,Maven Toys Saltillo 1,Saltillo,Downtown,9,Dino Egg,Toys,68,68,747.32,679.32,68.0
2022-01,2022-01-06,2022,1,1,January,4,Maven Toys Saltillo 1,Saltillo,Downtown,14,Glass Marbles,Games,42,69,758.31,413.31,345.0
2022-01,2022-01-13,2022,1,1,January,4,Maven Toys Saltillo 1,Saltillo,Downtown,17,Kids Makeup Kit,Art & Crafts,15,15,299.85,209.85,90.0
2022-01,2022-01-07,2022,1,1,January,4,Maven Toys Saltillo 1,Saltillo,Downtown,18,Lego Bricks,Toys,30,44,1759.56,1539.56,220.0
2022-01,2022-01-01,2022,1,1,January,4,Maven Toys Saltillo 1,Saltillo,Downtown,20,Mini Basketball Hoop,Sports & Outdoors,33,58,1449.42,521.42,928.0
2022-01,2022-01-20,2022,1,1,January,4,Maven Toys Saltillo 1,Saltillo,Downtown,21,Mini Ping Pong Set,Sports & Outdoors,13,13,129.87,90.87,39.0
2022-01,2022-01-24,2022,1,1,January,4,Maven Toys Saltillo 1,Saltillo,Downtown,25,PlayDoh Can,Art & Crafts,25,48,143.52,95.52,48.0
2022-01,2022-01-04,2022,1,1,January,4,Maven Toys Saltillo 1,Saltillo,Downtown,27,PlayDoh Toolkit,Art & Crafts,44,44,219.56,175.56,44.0
2022-01,2022-01-06,2022,1,1,January,4,Maven Toys Saltillo 1,Saltillo,Downtown,30,Rubik's Cube,Games,72,72,1439.28,1295.28,144.0
2022-01,2022-01-10,2022,1,1,January,4,Maven Toys Saltillo 1,Saltillo,Downtown,31,Splash Balls,Sports & Outdoors,47,47,422.53,375.53,47.0
2022-01,2022-01-13,2022,1,1,January,4,Maven Toys Saltillo 1,Saltillo,Downtown,34,Toy Robot,Electronics,20,20,519.8,419.8,100.0
2022-01,2022-01-08,2022,1,1,January,5,Maven Toys La Paz 1,La Paz,Downtown,1,Action Figure,Toys,98,143,2286.57,1428.57,858.0
2022-01,2022-01-07,2022,1,1,January,5,Maven Toys La Paz 1,La Paz,Downtown,2,Animal Figures,Toys,12,12,155.88,119.88,36.0
2022-01,2022-01-22,2022,1,1,January,5,Maven Toys La Paz 1,La Paz,Downtown,5,Classic Dominoes,Games,13,13,129.87,103.87,26.0
2022-01,2022-01-01,2022,1,1,January,5,Maven Toys La Paz 1,La Paz,Downtown,6,Colorbuds,Electronics,40,40,599.6,279.6,320.0
2022-01,2022-01-01,2022,1,1,January,5,Maven Toys La Paz 1,La Paz,Downtown,7,Dart Gun,Sports & Outdoors,5,5,79.95,59.95,20.0
2022-01,2022-01-01,2022,1,1,January,5,Maven Toys La Paz 1,La Paz,Downtown,8,Deck Of Cards,Games,73,118,824.82,470.82,354.0
2022-01,2022-01-06,2022,1,1,January,5,Maven Toys La Paz 1,La Paz,Downtown,9,Dino Egg,Toys,56,56,615.44,559.44,56.0
2022-01,2022-01-19,2022,1,1,January,5,Maven Toys La Paz 1,La Paz,Downtown,14,Glass Marbles,Games,39,64,703.36,383.36,320.0
2022-01,2022-01-27,2022,1,1,January,5,Maven Toys La Paz 1,La Paz,Downtown,17,Kids Makeup Kit,Art & Crafts,4,4,79.96,55.96,24.0
2022-01,2022-01-13,2022,1,1,January,5,Maven Toys La Paz 1,La Paz,Downtown,18,Lego Bricks,Toys,46,46,1839.54,1609.54,230.0
2022-01,2022-01-04,2022,1,1,January,5,Maven Toys La Paz 1,La Paz,Downtown,20,Mini Basketball Hoop,Sports & Outdoors,25,25,624.75,224.75,400.0
2022-01,2022-01-01,2022,1,1,January,5,Maven Toys La Paz 1,La Paz,Downtown,21,Mini Ping Pong Set,Sports & Outdoors,50,89,889.11,622.11,267.0
2022-01,2022-01-04,2022,1,1,January,5,Maven Toys La Paz 1,La Paz,Downtown,24,Nerf Gun,Sports & Outdoors,2,2,39.98,29.98,10.0
2022-01,2022-01-13,2022,1,1,January,5,Maven Toys La Paz 1,La Paz,Downtown,25,PlayDoh Can,Art & Crafts,23,23,68.77,45.77,23.0
2022-01,2022-01-24,2022,1,1,January,5,Maven Toys La Paz 1,La Paz,Downtown,27,PlayDoh Toolkit,Art & Crafts,3,3,14.97,11.97,3.0
2022-01,2022-01-01,2022,1,1,January,5,Maven Toys La Paz 1,La Paz,Downtown,31,Splash Balls,Sports & Outdoors,23,23,206.77,183.77,23.0
2022-01,2022-01-22,2022,1,1,January,5,Maven Toys La Paz 1,La Paz,Downtown,33,Teddy Bear,Toys,16,16,207.84,175.84,32.0
2022-01,2022-01-20,2022,1,1,January,5,Maven Toys La Paz 1,La Paz,Downtown,34,Toy Robot,Electronics,28,28,727.72,587.72,140.0
2022-01,2022-01-02,2022,1,1,January,6,Maven Toys Mexicali 1,Mexicali,Commercial,1,Action Figure,Toys,69,81,1295.19,809.19,486.0
2022-01,2022-01-07,2022,1,1,January,6,Maven Toys Mexicali 1,Mexicali,Commercial,2,Animal Figures,Toys,10,24,311.76,239.76,72.0
2022-01,2022-01-01,2022,1,1,January,6,Maven Toys Mexicali 1,Mexicali,Commercial,3,Barrel O' Slime,Art & Crafts,9,9,35.91,17.91,18.0
2022-01,2022-01-27,2022,1,1,January,6,Maven Toys Mexicali 1,Mexicali,Commercial,4,Chutes & Ladders,Games,7,7,90.93,69.93,21.0
