store_id,store_name,store_city,store_location,product_id,product_name,product_category,product_cost,product_price,has_inventory_record,stock_on_hand,units_30d,units_60d,units_90d,revenue_90d,gross_profit_90d,inventory_status,days_cover_90d,inventory_cost_value,inventory_retail_value
49,Maven Toys Culiacan 1,Culiacan,Downtown,2,Animal Figures,Toys,9.99,12.99,1,0,225,416,456,5923.44,1368.0,Stockout with recent demand,0.0,0.0,0.0
45,Maven Toys Ciudad de Mexico 4,Cuidad de Mexico,Commercial,9,Dino Egg,Toys,9.99,10.99,1,0,106,219,358,3934.42,358.0,Stockout with recent demand,0.0,0.0,0.0
8,Maven Toys Pachuca 1,Pachuca,Downtown,9,Dino Egg,Toys,9.99,10.99,1,0,112,165,278,3055.22,278.0,Stockout with recent demand,0.0,0.0,0.0
34,Maven Toys Villahermosa 1,Villahermosa,Downtown,9,Dino Egg,Toys,9.99,10.99,1,0,34,98,258,2835.42,258.0,Stockout with recent demand,0.0,0.0,0.0
5,Maven Toys La Paz 1,La Paz,Downtown,21,Mini Ping Pong Set,Sports & Outdoors,6.99,9.99,1,0,94,190,277,2767.23,831.0,Stockout with recent demand,0.0,0.0,0.0
44,Maven Toys Puebla 3,Puebla,Residential,11,Etch A Sketch,Art & Crafts,10.99,20.99,1,0,3,48,129,2707.71,1290.0,Stockout with recent demand,0.0,0.0,0.0
33,Maven Toys Monterrey 3,Monterrey,Airport,13,Gamer Headphones,Electronics,14.99,20.99,1,0,65,102,127,2665.73,762.0,Stockout with recent demand,0.0,0.0,0.0
39,Maven Toys Xalapa 2,Xalapa,Downtown,1,Action Figure,Toys,9.99,15.99,1,0,51,118,165,2638.35,990.0,Stockout with recent demand,0.0,0.0,0.0
41,Maven Toys Hermosillo 2,Hermosillo,Downtown,28,Playfoam,Art & Crafts,3.99,10.99,1,0,133,237,237,2604.63,1659.0,Stockout with recent demand,0.0,0.0,0.0
44,Maven Toys Puebla 3,Puebla,Residential,1,Action Figure,Toys,9.99,15.99,1,0,31,63,136,2174.64,816.0,Stockout with recent demand,0.0,0.0,0.0
14,Maven Toys Guanajuato 1,Guanajuato,Downtown,21,Mini Ping Pong Set,Sports & Outdoors,6.99,9.99,1,0,98,132,209,2087.91,627.0,Stockout with recent demand,0.0,0.0,0.0
7,Maven Toys Monterrey 2,Monterrey,Downtown,9,Dino Egg,Toys,9.99,10.99,1,0,39,59,185,2033.15,185.0,Stockout with recent demand,0.0,0.0,0.0
13,Maven Toys Mexicali 2,Mexicali,Downtown,9,Dino Egg,Toys,9.99,10.99,1,0,66,80,182,2000.18,182.0,Stockout with recent demand,0.0,0.0,0.0
24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,21,Mini Ping Pong Set,Sports & Outdoors,6.99,9.99,1,0,141,191,198,1978.02,594.0,Stockout with recent demand,0.0,0.0,0.0
2,Maven Toys Monterrey 1,Monterrey,Residential,1,Action Figure,Toys,9.99,15.99,1,0,67,76,121,1934.79,726.0,Stockout with recent demand,0.0,0.0,0.0
13,Maven Toys Mexicali 2,Mexicali,Downtown,1,Action Figure,Toys,9.99,15.99,1,0,78,87,111,1774.89,666.0,Stockout with recent demand,0.0,0.0,0.0
22,Maven Toys Guanajuato 2,Guanajuato,Commercial,28,Playfoam,Art & Crafts,3.99,10.99,1,0,121,159,159,1747.41,1113.0,Stockout with recent demand,0.0,0.0,0.0
1,Maven Toys Guadalajara 1,Guadalajara,Residential,2,Animal Figures,Toys,9.99,12.99,1,0,33,104,123,1597.77,369.0,Stockout with recent demand,0.0,0.0,0.0
41,Maven Toys Hermosillo 2,Hermosillo,Downtown,11,Etch A Sketch,Art & Crafts,10.99,20.99,1,0,40,40,71,1490.29,710.0,Stockout with recent demand,0.0,0.0,0.0
40,Maven Toys Toluca 2,Toluca,Commercial,28,Playfoam,Art & Crafts,3.99,10.99,1,0,111,132,132,1450.68,924.0,Stockout with recent demand,0.0,0.0,0.0
8,Maven Toys Pachuca 1,Pachuca,Downtown,13,Gamer Headphones,Electronics,14.99,20.99,1,0,37,46,69,1448.31,414.0,Stockout with recent demand,0.0,0.0,0.0
2,Maven Toys Monterrey 1,Monterrey,Residential,9,Dino Egg,Toys,9.99,10.99,1,0,32,95,131,1439.69,131.0,Stockout with recent demand,0.0,0.0,0.0
11,Maven Toys Cuernavaca 1,Cuernavaca,Downtown,21,Mini Ping Pong Set,Sports & Outdoors,6.99,9.99,1,0,57,115,140,1398.6,420.0,Stockout with recent demand,0.0,0.0,0.0
1,Maven Toys Guadalajara 1,Guadalajara,Residential,34,Toy Robot,Electronics,20.99,25.99,1,0,45,45,53,1377.47,265.0,Stockout with recent demand,0.0,0.0,0.0
13,Maven Toys Mexicali 2,Mexicali,Downtown,12,Foam Disk Launcher,Sports & Outdoors,8.99,11.99,1,0,33,49,110,1318.9,330.0,Stockout with recent demand,0.0,0.0,0.0
7,Maven Toys Monterrey 2,Monterrey,Downtown,28,Playfoam,Art & Crafts,3.99,10.99,1,0,85,116,116,1274.84,812.0,Stockout with recent demand,0.0,0.0,0.0
28,Maven Toys Puebla 2,Puebla,Downtown,2,Animal Figures,Toys,9.99,12.99,1,0,25,42,90,1169.1,270.0,Stockout with recent demand,0.0,0.0,0.0
41,Maven Toys Hermosillo 2,Hermosillo,Downtown,29,Plush Pony,Toys,8.99,19.99,1,0,45,58,58,1159.42,638.0,Stockout with recent demand,0.0,0.0,0.0
42,Maven Toys Hermosillo 3,Hermosillo,Commercial,28,Playfoam,Art & Crafts,3.99,10.99,1,0,105,105,105,1153.95,735.0,Stockout with recent demand,0.0,0.0,0.0
15,Maven Toys Tuxtla Gutierrez 1,Tuxtla Gutierrez,Downtown,12,Foam Disk Launcher,Sports & Outdoors,8.99,11.99,1,0,24,48,87,1043.13,261.0,Stockout with recent demand,0.0,0.0,0.0
16,Maven Toys San Luis Potosi 1,San Luis Potosi,Downtown,28,Playfoam,Art & Crafts,3.99,10.99,1,0,82,92,92,1011.08,644.0,Stockout with recent demand,0.0,0.0,0.0
50,Maven Toys Guanajuato 3,Guanajuato,Residential,28,Playfoam,Art & Crafts,3.99,10.99,1,0,58,91,91,1000.09,637.0,Stockout with recent demand,0.0,0.0,0.0
49,Maven Toys Culiacan 1,Culiacan,Downtown,15,Hot Wheels 5-Pack,Toys,3.99,5.99,1,0,73,127,163,976.37,326.0,Stockout with recent demand,0.0,0.0,0.0
5,Maven Toys La Paz 1,La Paz,Downtown,11,Etch A Sketch,Art & Crafts,10.99,20.99,1,0,21,46,46,965.54,460.0,Stockout with recent demand,0.0,0.0,0.0
20,Maven Toys Zacatecas 1,Zacatecas,Downtown,21,Mini Ping Pong Set,Sports & Outdoors,6.99,9.99,1,0,70,70,95,949.05,285.0,Stockout with recent demand,0.0,0.0,0.0
13,Maven Toys Mexicali 2,Mexicali,Downtown,11,Etch A Sketch,Art & Crafts,10.99,20.99,1,0,13,19,43,902.57,430.0,Stockout with recent demand,0.0,0.0,0.0
14,Maven Toys Guanajuato 1,Guanajuato,Downtown,29,Plush Pony,Toys,8.99,19.99,1,0,26,38,43,859.57,473.0,Stockout with recent demand,0.0,0.0,0.0
