year_month,month_start,transactions,units_sold,revenue,gross_profit,gross_margin
2022-01,2022-01-01,29547,38009,542554.91,167126.0,0.308
2022-02,2022-02-01,28651,36935,541351.65,161861.0,0.299
2022-03,2022-03-01,31376,39981,589485.19,173992.0,0.2952
2022-04,2022-04-01,35716,47102,681072.98,190099.0,0.2791
2022-05,2022-05-01,37064,46910,672369.9,186894.0,0.278
2022-06,2022-06-01,35515,47178,661980.22,189815.0,0.2867
2022-07,2022-07-01,34915,46177,556034.23,176922.0,0.3182
2022-08,2022-08-01,31304,39927,489422.73,158931.0,0.3247
2022-09,2022-09-01,32967,42196,585844.04,166397.0,0.284
2022-10,2022-10-01,36451,47861,623874.39,178799.0,0.2866
2022-11,2022-11-01,38959,51185,661304.15,192873.0,0.2917
2022-12,2022-12-01,48380,66031,877203.69,246078.0,0.2805
2023-01,2023-01-01,42418,56478,747196.22,205074.0,0.2745
2023-02,2023-02-01,40433,54581,722632.19,189314.0,0.262
2023-03,2023-03-01,49818,69336,883515.64,231909.0,0.2625
2023-04,2023-04-01,47768,65593,827691.07,215096.0,0.2599
2023-05,2023-05-01,48642,63851,825319.49,210347.0,0.2549
2023-06,2023-06-01,48421,64275,808299.25,207212.0,0.2564
2023-07,2023-07-01,48508,63614,828348.86,209807.0,0.2533
2023-08,2023-08-01,40579,51193,660877.07,175038.0,0.2649
2023-09,2023-09-01,41830,52152,658194.48,180445.0,0.2742
